,tract_id,x,y,center_ra,center_dec,br_ra,br_dec,bl_ra,bl_dec,tl_ra,tl_dec,tr_ra,tr_dec
0,9615.0,0.0,0.0,217.042833993,-0.0027991828834,217.136100421,-0.0960811937324,216.949532049,-0.0960852704058,216.949559665,0.0904907516982,217.136135922,0.0904869120618
1,9615.0,0.0,1.0,217.042865561,0.183827208482,217.136135931,0.0905335676491,216.949559672,0.0905374092654,216.949587291,0.277127290206,217.136171435,0.277115530516
2,9615.0,0.0,2.0,217.042897132,0.37046548186,217.136171444,0.277162189074,216.949587298,0.277173950744,216.949614918,0.463773731973,217.136206952,0.463754050968
3,9615.0,0.0,3.0,217.042928706,0.557111677255,217.136206961,0.463800711506,216.949614925,0.463820394491,216.949642548,0.650426116199,217.136242471,0.650398513124
4,9615.0,0.0,4.0,217.042960282,0.743761833664,217.13624248,0.650445174652,216.949642555,0.650472779708,216.949670181,0.837080481329,217.136277993,0.837044955931
5,9615.0,0.0,5.0,217.042991861,0.930411989577,217.136278002,0.837091617459,216.949670188,0.837127144838,216.949697815,1.02373286556,217.136313519,1.02368941809
6,9615.0,0.0,6.0,217.043023443,1.11705818349,217.136313528,1.02373607862,216.949697822,1.02377952807,216.949725452,1.21037930732,217.136349047,1.21032793854
7,9615.0,0.0,7.0,217.043055027,1.30369645439,217.136349056,1.21037459709,216.949725459,1.21042596786,216.949753092,1.39701584583,217.136384578,1.39695655699
8,9615.0,0.0,8.0,217.043086614,1.49032284229,217.136384587,1.39700321258,216.949753099,1.39706250339,216.949780734,1.58363852154,217.136420113,1.58357131441
9,9615.0,1.0,0.0,216.856207599,-0.00279928683922,216.949485394,-0.0960852712978,216.762903165,-0.0960883291117,216.762922892,0.0904936325566,216.949513008,0.0904907525384
10,9615.0,1.0,1.0,216.856231277,0.183834035972,216.949513015,0.090537410106,216.762922897,0.0905402916092,216.762942626,0.277136113438,216.949540631,0.277127292779
11,9615.0,1.0,2.0,216.856254956,0.370479242119,216.949540638,0.277173953318,216.762942631,0.277182775461,216.762962361,0.463788498524,216.949568257,0.463773736279
12,9615.0,1.0,3.0,216.856278638,0.557132371168,216.949568264,0.463820398798,216.762962366,0.463835162528,216.762982098,0.650446826637,216.949595885,0.650426122239
13,9615.0,1.0,4.0,216.856302322,0.743789461671,216.949595892,0.650472785748,216.762982103,0.650493491632,216.763001837,0.837107135844,216.949623515,0.837080489103
14,9615.0,1.0,5.0,216.856326007,0.930446551678,216.949623522,0.837127152612,216.763001842,0.837153800839,216.763021577,1.02376546396,216.949651148,1.02373287506
15,9615.0,1.0,6.0,216.856349695,1.11709967924,216.949651155,1.02377953758,216.763021582,1.02381212796,216.763041319,1.21041784904,216.949678783,1.21037931856
16,9615.0,1.0,7.0,216.856373385,1.30374488291,216.94967879,1.2104259791,216.763041324,1.21046451107,216.763061063,1.39706032992,216.94970642,1.3970158588
17,9615.0,1.0,8.0,216.856397076,1.49037820226,216.949706427,1.39706251637,216.763061068,1.39710698898,216.763080808,1.58368894668,216.94973406,1.58363853624
18,9615.0,2.0,0.0,216.669569323,-0.00279936109939,216.762856506,-0.0960883297489,216.576264379,-0.0960903684112,216.576276215,0.0904955532817,216.762876231,0.0904936331568
19,9615.0,2.0,1.0,216.669585108,0.183838913146,216.762876236,0.0905402922097,216.576276218,0.0905422133246,216.576288056,0.27714199606,216.762895963,0.277136115276
20,9615.0,2.0,2.0,216.669600895,0.370489071675,216.762895968,0.2771827773,216.576288059,0.277188659075,216.576299898,0.463798343675,216.762915696,0.4637885016
21,9615.0,2.0,3.0,216.669616683,0.557147153734,216.762915701,0.463835165605,216.576299901,0.46384500867,216.57631174,0.650460634695,216.762935431,0.650446830952
22,9615.0,2.0,4.0,216.669632473,0.743809197564,216.762935436,0.650493495947,216.576311743,0.650507300681,216.576323584,0.837124906935,216.762955168,0.837107141397
23,9615.0,2.0,5.0,216.669648264,0.930471240898,216.762955173,0.837153806392,216.576323587,0.83717157292,216.576335429,1.02378719796,216.762974906,1.02376547075
24,9615.0,2.0,6.0,216.669664056,1.11712932147,216.762974911,1.02381213475,216.576335432,1.02383386295,216.576347275,1.21044354557,216.762994646,1.21041785707
25,9615.0,2.0,7.0,216.66967985,1.30377947752,216.762994651,1.2104645191,216.576347278,1.21049020858,216.576359121,1.39708998835,216.763014388,1.39706033919
26,9615.0,2.0,8.0,216.669695645,1.4904177483,216.763014393,1.39710699824,216.576359124,1.39713664839,216.576370969,1.58372256612,216.763034132,1.58368895719
27,9615.0,3.0,0.0,216.482923124,-0.00279940565687,216.576217718,-0.0960903687935,216.389619651,-0.0960913881096,216.389623596,0.0904965136901,216.576229553,0.0904955536418
28,9615.0,3.0,1.0,216.482931017,0.18384183954,216.576229556,0.090542213685,216.389623597,0.0905431742283,216.389627543,0.277144937512,216.576241392,0.277141997163
29,9615.0,3.0,2.0,216.48293891,0.370494969587,216.576241394,0.277188660178,216.389627544,0.277191601022,216.389631491,0.463803266485,216.576253231,0.463798345521
30,9615.0,3.0,3.0,216.482946804,0.557156023544,216.576253234,0.463845010516,216.389631492,0.463849931976,216.389635438,0.650467539054,216.576265072,0.650460637284
31,9615.0,3.0,4.0,216.482954699,0.74382103946,216.576265075,0.65050730327,216.389635439,0.650514205535,216.389639386,0.837133792905,216.576276914,0.837124910267
32,9615.0,3.0,5.0,216.482962594,0.93048605488,216.576276917,0.837171576252,216.389639387,0.837180459386,216.389643335,1.02379806547,216.576288756,1.02378720203
